Question,Group
How familiar are you with the term systematic review? ,General_public
"How would you define, in your own words, a “systematic review”?",General_public
I am aware how systematic reviews are different from traditional literature reviews.,General_public
How frequently do you read or consult published systematic reviews in your field?,General_public
I am planning to conduct systematic review in the future.,General_public
Have you published a systematic review - e.g. in a scientific journal or as a thesis?,General_public
I think that systematic reviews are important for advancing scientific knowledge.,General_public
"If you answered ”Strongly disagree” or ”Disagree” to the previous question, what is the reason for your answer?",General_public
Have you ever conducted a systematic review?,General_public
"If you answered ”No” to the previous question, what is the reason for not conducting a systematic review? ",General_public
"If you answered ”Yes” to the previous question, what motivated you to conduct a systematic review?",General_public
How many systematic reviews have you been involved in?,SR_academics
"On average, how many months did it take you to perform a systematic review (from protocol writing to a first draft of a publication)?",SR_academics
"I have encountered problems in publishing my systematic review (i.e. rejections by journals, difficult peer review).",SR_academics
Which systematic review step(s) have you been involved in?  ,SR_academics
There is an established process for systematic review in my group.,SR_academics
"In the past, have you consulted any of the following external experts to help you with the systematic review? ",SR_academics
What was/ were the most challenging step(s) of systematic review for you?,SR_academics
Would you consider performing another systematic review?,SR_academics
"If you answered ”Extremely Unlikely” to the previous question, why?",SR_academics
Have you ever used one of the following software or tools to support you in the systematic review? ,SR_academics
"If you answered ”I have never used a software for systematic reviews” to the previous question, why?",SR_academics
Which aspects of the systematic review software or tools do you think can be improved?,SR_academics
What was the population of the systematic reviews you have performed? ,SR_academics
"If you have answer either ”Animal studies” or ”Both”, what was the rationale behind conducting a systematic review in animal studies? ",SR_academics
Have you performed animal experimentation in the past year?,Animal_resedarch
"I am familiar with the concept of 3Rs (Replacement, Reduction and Refinement of animals in research).",Animal_resedarch
I believe systematic reviews can be a valuable alternative method to animal experimentation.,Animal_resedarch
I would be interested in attending a workshop or training session on conducting systematic reviews.,Future_SR
What measures do you think could be put in place to promote the use of systematic reviews as an alternative method to animal experimentation?,Future_SR
Is there any other way you would like the systematic review to improve?,Future_SR
Select your gender.,About
Your age:,About
Your Nationality,About
Which country do you reside in?,About
"At which institution(s) are you currently working (e.g., University of Zürich, Department of molecular biology)?",About
Which field are you working in? ,About
What is the highest degree you have obtained?,About
Which stage of your career are you currently pursuing?,About
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
